"Doubles","Time","Schema","Criterion","DataGenerator","Doubler"
"0.0","5.401912217E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"1.0","2.864086193E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"2.0","2.779240464E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"3.0","2.816172155E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"4.0","2.80435391E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"5.0","2.756031537E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"6.0","2.790488094E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"7.0","3.098817333E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"8.0","2.858882921E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"9.0","3.12269816E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"10.0","3.546628638E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"11.0","2.812578822E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"12.0","3.22104677E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"13.0","3.420957844E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"14.0","3.834452529E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"15.0","3.716891678E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"16.0","4.877916632E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"17.0","7.603030545E9","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"18.0","1.9043706523E10","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"19.0","3.4914269239E10","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"20.0","6.0797186824E10","RiskIt","APC","randomDefaults","DoubleNotNullsSemantic"
"0.0","7.92056135E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"1.0","5.18624342E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"2.0","2.88956472E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"3.0","1.60004658E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"4.0","1.41926241E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"5.0","1.16637651E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"6.0","1.06736513E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"7.0","1.26775516E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"8.0","1.37622058E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"9.0","1.0318106E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"10.0","1.01598902E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"11.0","1.12337384E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"12.0","1.10100647E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"13.0","1.3044224E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"14.0","2.05969851E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"15.0","3.2285441E8","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"16.0","1.155052418E9","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"17.0","1.117597571E9","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"18.0","2.354824243E9","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"19.0","4.834526085E9","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"20.0","1.0112574551E10","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"21.0","1.8937718712E10","UnixUsage","ANCC","avs","DoubleNotNullsSemantic"
"0.0","2.94142108575E11","BioSQL","CondAICC","randomDefaults","DoubleUniquesSemantic"
"1.0","3.97650344814E11","BioSQL","CondAICC","randomDefaults","DoubleUniquesSemantic"
"2.0","6.14514568669E11","BioSQL","CondAICC","randomDefaults","DoubleUniquesSemantic"
"3.0","1.889706582599E12","BioSQL","CondAICC","randomDefaults","DoubleUniquesSemantic"
"4.0","3.549076159705E12","BioSQL","CondAICC","randomDefaults","DoubleUniquesSemantic"
"5.0","6.849708650321E12","BioSQL","CondAICC","randomDefaults","DoubleUniquesSemantic"
"0.0","6.1897405E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"1.0","3.6449932E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"2.0","2.2101471E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"3.0","1.6660818E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"4.0","1.9688377E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"5.0","1.6486609E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"6.0","9972158.0","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"7.0","9470471.0","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"8.0","8899016.0","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"9.0","9247160.0","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"10.0","9318600.0","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"11.0","1.8683533E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"12.0","1.0761985E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"13.0","7183621.0","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"14.0","7489513.0","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"15.0","3.3255268E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"16.0","2.6318492E7","NistXTS749","AICC","directedRandomDefaults","DoubleNotNulls"
"0.0","5.5014125E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"1.0","1.6899979E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"2.0","1.6024953E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"3.0","1.5599895E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"4.0","1.3902476E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"5.0","1.3048093E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"6.0","1.2313246E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"7.0","1.4597157E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"8.0","1.401654E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"9.0","1.184413E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"10.0","1.0803671E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"11.0","1.0574924E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"12.0","1.2666492E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"13.0","1.8411282E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"14.0","2.5857111E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"15.0","4.2877456E7","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"16.0","2.41305216E8","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"17.0","3.00028853E8","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"18.0","6.04827328E8","NistXTS748","ANCC","randomDefaults","DoubleChecksSemantic"
"0.0","3.8859926E7","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"1.0","3.4714324E7","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"2.0","9.6486672E7","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"3.0","1.756109E8","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"4.0","1.1944063E8","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"5.0","5.69764371E8","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"6.0","1.679675682E9","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"7.0","6.299562713E9","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"8.0","2.9643164882E10","Cloc","NCC","directedRandomDefaults","DoubleColumns"
"0.0","1.013080476E9","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"1.0","6.23780587E8","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"2.0","2.60116959E8","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"3.0","3.99228292E8","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"4.0","3.19018789E8","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"5.0","3.40513498E8","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"6.0","3.55038584E8","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"7.0","2.07935982E8","NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNulls"
"0.0","2.8497961E7","Cloc","AICC","random","DoubleUniquesSemantic"
"1.0","2214336.0","Cloc","AICC","random","DoubleUniquesSemantic"
"2.0","2006423.0","Cloc","AICC","random","DoubleUniquesSemantic"
"3.0","1999053.0","Cloc","AICC","random","DoubleUniquesSemantic"
"4.0","1998691.0","Cloc","AICC","random","DoubleUniquesSemantic"
"5.0","2003760.0","Cloc","AICC","random","DoubleUniquesSemantic"
"6.0","2418129.0","Cloc","AICC","random","DoubleUniquesSemantic"
"7.0","1980368.0","Cloc","AICC","random","DoubleUniquesSemantic"
"8.0","2003872.0","Cloc","AICC","random","DoubleUniquesSemantic"
"9.0","1979361.0","Cloc","AICC","random","DoubleUniquesSemantic"
"10.0","1975551.0","Cloc","AICC","random","DoubleUniquesSemantic"
"11.0","1979611.0","Cloc","AICC","random","DoubleUniquesSemantic"
"12.0","1996776.0","Cloc","AICC","random","DoubleUniquesSemantic"
"13.0","2350129.0","Cloc","AICC","random","DoubleUniquesSemantic"
"14.0","1998782.0","Cloc","AICC","random","DoubleUniquesSemantic"
"15.0","1996586.0","Cloc","AICC","random","DoubleUniquesSemantic"
"16.0","1994163.0","Cloc","AICC","random","DoubleUniquesSemantic"
"17.0","2028586.0","Cloc","AICC","random","DoubleUniquesSemantic"
"18.0","1977377.0","Cloc","AICC","random","DoubleUniquesSemantic"
"19.0","1983437.0","Cloc","AICC","random","DoubleUniquesSemantic"
"20.0","1888371.0","Cloc","AICC","random","DoubleUniquesSemantic"
"21.0","1831295.0","Cloc","AICC","random","DoubleUniquesSemantic"
"22.0","2444183.0","Cloc","AICC","random","DoubleUniquesSemantic"
"0.0","1.07209717E8","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"1.0","1944693.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"2.0","1916621.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"3.0","1908063.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"4.0","2.1045055E7","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"5.0","1975997.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"6.0","1971458.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"7.0","1952181.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"8.0","2003649.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"9.0","1961396.0","Cloc","CondAICC","directedRandom","DoubleForeignKeys"
"0.0","3.772306067E9","NistXTS749","CondAICC","random","DoubleAll"
"1.0","2.595480287E9","NistXTS749","CondAICC","random","DoubleAll"
"2.0","4.70620685E9","NistXTS749","CondAICC","random","DoubleAll"
"3.0","2.111327093E10","NistXTS749","CondAICC","random","DoubleAll"
"4.0","4.267538792E10","NistXTS749","CondAICC","random","DoubleAll"
"5.0","8.7093480332E10","NistXTS749","CondAICC","random","DoubleAll"
"0.0","3.27620125E8","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"1.0","3.70145257E8","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"2.0","2.8717986E8","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"3.0","3.55872617E8","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"4.0","4.37605227E8","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"5.0","5.83772732E8","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"6.0","7.22495082E8","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"7.0","1.229726507E9","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"8.0","3.4844772E9","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"9.0","7.601085087E9","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"10.0","2.3485102886E10","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"11.0","3.5554189019E10","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"12.0","7.5629805744E10","JWhoisServer","AICC","directedRandom","DoubleNotNullsSemantic"
"0.0","1.636891292E9","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"1.0","3.4847223E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"2.0","1.91192581E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"3.0","2.28080817E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"4.0","2.79157007E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"5.0","1.39163561E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"6.0","1.28667639E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"7.0","1.43722217E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"8.0","1.15916815E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"9.0","1.13431497E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"10.0","1.17058333E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"11.0","1.34379271E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"12.0","1.28153285E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"13.0","1.34395975E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"14.0","1.54792264E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"15.0","1.12993978E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"16.0","1.10456475E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"17.0","1.12179919E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"18.0","1.18821427E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"19.0","1.04125622E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"20.0","1.18998327E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"21.0","1.64246442E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"22.0","1.59718386E8","JWhoisServer","ANCC","randomDefaults","DoubleNotNulls"
"0.0","1.285704604E9","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"1.0","9.46377533E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"2.0","5.52805728E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"3.0","2.56371929E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"4.0","1.21557545E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"5.0","1.47121585E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"6.0","1.33640341E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"7.0","1.42218975E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"8.0","1.38783879E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"9.0","1.51505456E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"10.0","1.26777721E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"11.0","1.30437602E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"12.0","6.6278048E7","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"13.0","6.7484294E7","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"14.0","1.33290608E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"15.0","1.26846805E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"16.0","9.423541E7","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"17.0","1.64966314E8","NistXTS748","AUCC","random","DoubleNotNullsSemantic"
"0.0","2.2523699E7","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"1.0","776058.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"2.0","772743.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"3.0","770223.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"4.0","767338.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"5.0","762098.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"6.0","789113.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"7.0","770956.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"8.0","764581.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"9.0","764291.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"10.0","763117.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"11.0","766526.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"12.0","770262.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"13.0","767467.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"14.0","759328.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"15.0","769659.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"16.0","775400.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"17.0","792311.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"18.0","762346.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"19.0","758113.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"20.0","753699.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"21.0","747670.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"22.0","752204.0","Cloc","AICC","randomDefaults","DoubleForeignKeys"
"0.0","4.83393737E8","UnixUsage","ICC","avs","DoubleChecksSemantic"
"1.0","1.47956779E8","UnixUsage","ICC","avs","DoubleChecksSemantic"
"2.0","1.87948113E8","UnixUsage","ICC","avs","DoubleChecksSemantic"
"3.0","1.92680978E8","UnixUsage","ICC","avs","DoubleChecksSemantic"
"4.0","1.37120809E8","UnixUsage","ICC","avs","DoubleChecksSemantic"
"5.0","1.26242951E8","UnixUsage","ICC","avs","DoubleChecksSemantic"
"6.0","9.203209E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"7.0","8.6812758E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"8.0","8.6002961E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"9.0","8.2568462E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"10.0","6.3030046E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"11.0","6.0201872E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"12.0","5.2870872E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"13.0","3.9584968E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"14.0","3.7684691E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"15.0","3.6530165E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"16.0","3.7037432E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"17.0","4.0401877E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"18.0","3.6504881E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"19.0","3.4220267E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"20.0","3.433944E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"21.0","3.8010049E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"22.0","3.4232255E7","UnixUsage","ICC","avs","DoubleChecksSemantic"
"0.0","2.2431907E7","Cloc","APC","avs","DoubleTablesColumns"
"1.0","4498125.0","Cloc","APC","avs","DoubleTablesColumns"
"2.0","9598689.0","Cloc","APC","avs","DoubleTablesColumns"
"3.0","3.7374057E7","Cloc","APC","avs","DoubleTablesColumns"
"4.0","5.7532655E7","Cloc","APC","avs","DoubleTablesColumns"
"5.0","7.3956036E7","Cloc","APC","avs","DoubleTablesColumns"
"6.0","9.1790253E7","Cloc","APC","avs","DoubleTablesColumns"
"7.0","1.09714053E8","Cloc","APC","avs","DoubleTablesColumns"
"0.0","1.02650441E8","NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic"
"1.0","2.9277606E7","NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic"
"2.0","2.1958835E7","NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic"
"3.0","3.4530133E7","NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic"
"4.0","6.0342059E7","NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic"
"5.0","8.875914E7","NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic"
"6.0","1.52812661E8","NistXTS748","CondAICC","directedRandom","DoubleUniquesSemantic"
"0.0","1.33532838E9","NistXTS749","NCC","random","DoubleTablesColumns"
"1.0","5.41618047E8","NistXTS749","NCC","random","DoubleTablesColumns"
"2.0","8.3726388E7","NistXTS749","NCC","random","DoubleTablesColumns"
"3.0","5.03666392E8","NistXTS749","NCC","random","DoubleTablesColumns"
"4.0","5.531471E7","NistXTS749","NCC","random","DoubleTablesColumns"
"5.0","9.5036257E7","NistXTS749","NCC","random","DoubleTablesColumns"
"6.0","7.24416705E8","NistXTS749","NCC","random","DoubleTablesColumns"
"7.0","7.40634149E8","NistXTS749","NCC","random","DoubleTablesColumns"
